workflow_domain,backend_object,source_tables,records,linked_units,role_in_workflow
Account and field setup,Retained operational accounts,"public_user_customuser, public_field_field, public_crop_cropseason",47,accounts with >=1 field and >=1 crop season,Defines the cleaned account set used for operational coverage statistics.
Account and field setup,Vineyard fields,public_field_field,139,47 retained accounts,"Stores field geometry, centroid, area, region, sharing, and field-level access."
Account and field setup,Crop seasons,public_crop_cropseason,128,139 retained fields,"Links field, cultivar, cultivation method, vine age, coordinates, and season-level records."
Environmental and analytical state,Weather payloads,public_weatherdata_cropweather,126,126 crop seasons,"Stores hourly and daily weather JSON payloads used by phenology, risk, and operation-suitability views."
Environmental and analytical state,Phenology payloads,public_phendata_phendata,126,126 crop seasons,Stores model-derived growth-stage trajectories attached to crop seasons.
Environmental and analytical state,Disease-risk outputs,"public_diseasedata_diseasedata, public_diseasedata_rb",252,126 crop seasons,Stores disease-risk states and model request or response bodies for later display and replay.
Risk delivery and field operations,Notifications,public_notice_notification,3590,125 crop seasons,"Delivers risk, phenology, sharing, and management events to users."
Risk delivery and field operations,Plant-protection and irrigation tasks,"public_task_cropprotection, public_task_irrigation",151,55 crop seasons,"Stores pending, completed, and overdue field operations generated or managed within the crop-season workflow."
Risk delivery and field operations,Fungicide and pesticide records,"public_task_fungicides, public_task_pesticides",234,141 plant-protection tasks,"Stores product, dose, unit, and task-linked application information used as protection feedback."
Field evidence and consultation,Field notes and disease reports,"public_note_recode, public_note_growthstagenote, public_note_incidencenote, public_warn_discoveringdiseases",94,"crop seasons, fields, or retained accounts","Stores field observations, growth-stage notes, incidence notes, and reported disease events."
Field evidence and consultation,Image-analysis records,"public_vitgpt_vit, public_seg_imageupload, public_yolo_yolo_m",2808,retained accounts or uploaded images,"Stores image-recognition, segmentation, and object-detection records used as symptom-level evidence."
Field evidence and consultation,Advisory and message records,"public_jiaojia_jiaojia, public_message_message, public_message_jiaojiamessage, public_suggestions_suggestion",1360,27 retained accounts,"Stores consultation sessions, image-associated messages, advisory messages, and suggestion records."
Community communication,Forum records,"public_forum_forumpost, public_forum_comment, public_forum_reply",27,7 retained accounts,Stores grower communication records outside the core risk-task loop.
