name,uuid,maturation_type,grape_use,downy_mildew_resistance,powdery_mildew_resistance,downy_mildew_susceptibility,powdery_mildew_susceptibility,resistance_description,variety_type,sort_order
玫瑰香,07414c24-970c-4ab5-b0de-a2e5b3dfcec5,中,酿酒,高感,高感,9,9,易感于霜霉病和白腐病。,欧亚种,9
大粒玫瑰香,0eb398ba-f139-4593-8f4e-4966a8183192,中,酿酒,感病,感病,7,7,抗病,欧亚种,10
维多利亚,29b1dd8f-23a4-422f-b63f-7f53bf90c517,中,酿酒,高感,高感,9,9,对灰霉病、霜霉病和白腐病都具有一定的抗性。,欧亚种,11
户太8号,2da85069-71c4-40df-ae1e-9f5d4e98812b,早,酿酒,抗病,抗病,5,5,生长期较短，收成好，产量大。具有很强的抗寒、抗病发能力，对于生长期间的病变有极强的防护能力。,欧美杂交种,12
巨玫瑰,39aa346e-2128-4d60-8d02-5231c65a2faf,中,酿酒,感病,感病,7,7,抗病性差,欧美杂交种,13
毛葡萄野酿1,70dc8fbf-dde2-49fc-9fed-eaabefdd2071,晚,酿酒,感病,感病,7,7,单性花品种，受环境影响明显，开花期遇雨明显影响正常授粉和结实率。不抗霜霉病和灰霉病，不易感黑痘病。,毛葡萄,1
红地球,63f670bd-b5ff-470a-a657-6a200dba0987,中,酿酒,高感,高感,9,9,该葡萄以霜霉和白粉病为主要病害，老园子以霜霉，白腐，灰霉病较严重，且抗寒耐寒性差，低于-12℃常常出现冻害现象,欧亚种,6
夏黑,92431ccc-ef09-437a-bd8c-109fe93679ed,早,酿酒,抗病,抗病,5,5,对霜霉病，灰霉病抗性较弱。,欧美杂交种,3
美人指,9aa5fab9-392d-42f0-a297-4ec64eb771eb,中,酿酒,高感,高感,9,9,对炭疽病感病，病情指数介于30.1～45.0之间，易感于白腐病。,欧亚种,8
金手指,bdffdc9e-54fa-475c-8d43-b7ceacc117af,中,酿酒,抗病,抗病,5,5,对白腐病、炭疽病、灰霉病、霜霉病抗性比较强。,欧美杂交种,7
巨峰,c6e5a7e0-3d4c-4429-bf95-23d53ae34ae2,中,酿酒,感病,感病,7,7,抗病性中等,欧美杂交种,4
红宝石,47239e65-a352-4d2c-b80c-4ad1933b1d00,晚,酿酒,高感,高感,9,9,本身抗性差，灰霉、白腐、炭疽、酸 腐等病害发生严重,欧亚种,14
温克,e68c5759-6992-4f4a-a57b-212ed7f2f78e,晚,酿酒,抗病,抗病,0,0,在广西桂南地区，露天条件下易感染霜霉病、白腐病和褐斑病，花和幼果易感染霜霉病和灰霉病，近成熟果实易感染炭疽病、白腐病、酸腐病和灰霉病；在避雨条件下，易感染白粉病和灰霉病。,欧亚种,5
醉金香,6bfb1a33-e616-497f-a98f-2a0de4e94afe,晚,酿酒,抗病,抗病,5,5,对霜霉病和白腐病具有较强的抗性，抗旱性也较强。,欧美杂交种,15
阳光玫瑰,ea676092-9fbe-431f-9639-7b1dd58125fd,晚,酿酒,高抗,高抗,3,3,该品种抗病性较强，与巨峰葡萄相比，幼果期易发生日灼。 高感病毒病，新植苗病毒病植株出现小叶现象，生长迟缓。萌芽和嫩梢不耐低温，低于 0 ℃易发生冻害。 遇低温新叶也易发生病毒症状，叶片皱缩变小，部分副梢新叶也有病毒病症状发生。 雨水过大易轻微裂果。 采摘迟易得果锈病。 设施栽培对褐斑病、霜霉病、白粉病抗性较强。,欧美杂交种,2
无核白鸡心,6c889bc3-a243-45c8-9d28-d8c184d8156c,中,酿酒,高感,高感,9,9,对霜霉病有较强的抗性，稍感白粉病和毛毡病。,欧亚种,16
黑玫瑰,6e29e70e-aa75-4d34-84da-a2266340ea76,中,酿酒,抗病,抗病,5,5,"抗病性差,感白粉病、霜霉病、炭疽病、白腐病,生长势强。",欧美杂交种,17
京蜜,80d290ff-744e-42a2-9547-7a5012e7b4ba,早,酿酒,高感,高感,9,9,"该品种生产中重点防治的虫害如绿盲蝽、蚧壳虫等,病害如灰霉病、霜霉病等",欧亚种,18
黑比诺,8f7f2af8-3950-45d0-97e2-879b0598f293,中,酿酒,抗病,抗病,5,5,"对霜冻极为敏感, 对病菌及潮湿的抵抗力差, 易发生腐烂。",欧亚种,20
贵妃玫瑰,b7489042-09c6-47e9-a017-40f0e9969168,中,酿酒,感病,感病,7,7,丰产稳产性好，抗病性较强。对霜霉病表现出感病，对炭疽病和白腐病表现出抗和中抗。,欧亚种,21
克伦生,c156c14b-97f8-4ca7-a782-1e13bafd6c92,晚,酿酒,抗病,抗病,5,5,易感白腐病和黑痘病。抗炭疽病，白粉病等多数真菌病害。,欧亚种,22
马瑟兰,c30d29f3-c6ba-4713-9310-366840500703,早,酿酒,抗病,抗病,5,5,抗灰霉病，白粉病。感霜霉病。,欧亚种,23
粉红亚都蜜,c31a3c10-49de-4443-8884-081f32f0f4e4,早,酿酒,感病,感病,7,7,具有较强的丰产性和抗病性,欧亚种,24
美乐,d783200d-3b6e-43dd-807c-c6a6d523403d,早,酿酒,高抗,高抗,3,3,抗病性较强,欧亚种,25
毛葡萄野酿2,8291658e-8342-4f76-b3b0-571a51f96091,晚,酿酒,感病,感病,7,7,适应性强，较抗旱，抗湿热，耐贫瘠，花期遇不良天气仍能正常结果。抗病性中等，不易感黑痘病；缺点是不抗霜霉病、白粉病、果腐病等病害。产量较稳定，在授粉受精结果后，有一次明显的生理落果，对产量影响不大。适宜在广西各地区栽培，除了在严重渍水和盐碱性强的土壤生长不良外，都可正常生长发育、开花结果，特别是丘陵、山地、石漠化石山地区等较恶劣的立地条件均可种植，是南方“石漠化治理、生态重建、矿区土地复垦”的优良树种。,毛葡萄,0
